X,Y,Subtracted,Original 1,Original 2
2133,936,1,52,51
2133,942,12,48,36
2133,948,1,38,37
2134,948,7,42,35
2135,960,7,56,49
2135,961,3,40,37
2135,967,9,42,33
2136,967,8,41,33
2136,992,2,33,31
2137,992,11,59,48
2137,998,5,57,52
2138,998,5,48,43
2137,999,15,56,41
2138,999,8,47,39
2138,1023,6,46,40
2139,1023,5,41,36
2140,1048,3,46,43
2140,1049,4,36,32
2142,1073,4,37,33
2142,1074,5,57,52
2141,1080,13,75,62
2142,1080,4,56,52
2141,1081,4,41,37
2142,1107,5,37,32
2142,1112,1,66,65
2142,1113,1,48,47
2142,1125,17,61,44
2142,1131,4,44,40
2143,1131,28,63,35
2142,1132,1,39,38
2143,1132,25,58,33
2142,1146,2,38,36
2143,1149,2,37,35
2142,1156,2,38,36
2142,1157,4,58,54
2143,1162,1,35,34
2143,1163,3,75,72
2142,1164,4,61,57
2143,1164,5,56,51
2143,1169,7,41,34
2142,1176,5,44,39
2143,1176,14,75,61
2142,1195,12,63,51
2142,1196,7,39,32
2142,1201,20,80,60
2143,1201,7,58,51
2142,1202,20,74,54
2143,1202,16,59,43
2143,1215,3,34,31
2142,1226,8,44,36
2141,1227,3,43,40
2142,1227,15,69,54
2143,1227,2,35,33
2141,1239,6,72,66
2142,1239,8,91,83
2142,1240,12,74,62
2142,1241,2,38,36
2142,1245,9,58,49
2142,1246,13,67,54
2142,1247,6,47,41
2141,1251,6,40,34
2141,1252,1,64,63
2141,1253,3,50,47
2141,1257,5,46,41
2141,1258,6,79,73
2141,1259,15,71,56
2140,1265,8,40,32
2141,1265,8,59,51
2141,1271,2,67,65
2140,1277,7,61,54
2141,1277,6,59,53
2140,1278,9,56,47
2141,1278,5,55,50
