X,Y,Subtracted,Original 1,Original 2
336,550,1,32,31
1790,835,2,45,43
1792,837,1,53,52
1792,842,24,135,111
1793,842,8,87,79
1791,843,2,100,98
1792,843,31,191,160
1793,843,10,129,119
1792,850,5,89,84
1793,850,12,138,126
1793,851,5,48,43
1792,856,13,84,71
1793,856,4,147,143
1793,857,6,119,113
1793,858,19,50,31
1794,858,16,64,48
1793,862,8,55,47
1794,862,12,89,77
1794,863,7,206,199
1793,864,3,129,126
1795,869,9,92,83
1796,869,11,52,41
1794,870,2,167,165
1795,870,13,185,172
1796,870,2,115,113
1793,871,22,111,89
1793,872,6,38,32
1794,872,12,103,91
1795,872,11,89,78
1795,876,40,84,44
1794,877,1,123,122
1797,877,8,60,52
1794,878,9,129,120
1795,878,22,196,174
1795,879,24,83,59
1796,883,6,92,86
1794,884,15,93,78
1795,884,18,216,198
1796,884,29,175,146
1797,884,16,111,95
1794,885,20,92,72
1796,885,14,206,192
1796,886,7,52,45
1797,886,15,59,44
1795,890,13,120,107
1796,890,32,92,60
1795,891,62,161,99
1797,891,17,155,138
1795,892,44,144,100
1797,892,28,165,137
1796,897,7,82,75
1797,897,1,94,93
1798,897,15,64,49
1795,898,11,85,74
1797,898,21,219,198
1796,899,21,189,168
1795,900,22,63,41
1797,900,5,79,74
1798,904,11,62,51
1799,905,7,83,76
1796,906,5,113,108
1798,906,1,155,154
1796,907,1,46,45
1796,911,1,44,43
1799,912,26,87,61
1798,913,6,190,184
1799,913,26,176,150
1796,919,10,45,35
1797,919,4,110,106
1798,919,3,140,137
1799,919,8,132,124
1799,920,20,139,119
1797,926,8,47,39
1800,926,5,68,63
1797,927,4,91,87
1799,927,10,137,127
1800,933,5,70,65
1801,933,5,39,34
1800,934,5,96,91
1801,934,5,54,49
1800,935,1,60,59
1799,940,3,76,73
1800,940,1,83,82
1801,940,4,53,49
1798,941,1,42,41
1799,941,2,121,119
1801,941,2,106,104
1800,942,12,69,57
1800,947,1,72,71
1801,948,1,119,118
1800,949,3,104,101
1801,949,7,110,103
1802,949,3,64,61
1800,950,8,49,41
1801,950,2,51,49
1799,954,7,42,35
1800,954,3,82,79
1801,954,2,82,80
1800,955,6,161,155
1800,961,5,76,71
1802,961,12,70,58
1801,962,17,168,151
1800,963,16,89,73
1802,963,15,113,98
1801,964,20,71,51
1801,971,9,67,58
1802,971,10,71,61
1801,976,5,83,78
1803,977,6,77,71
1804,977,3,94,91
1801,978,10,91,81
1802,978,4,60,56
1803,978,10,104,94
1801,983,7,58,51
1802,983,9,95,86
1803,983,16,94,78
1804,983,5,58,53
1802,984,14,84,70
1803,984,10,105,95
1804,984,22,82,60
1802,985,2,57,55
1801,991,10,72,62
1802,991,5,120,115
1803,991,16,105,89
1802,992,24,109,85
1803,993,18,66,48
1803,997,2,73,71
1804,997,6,84,78
1802,998,4,89,85
1803,998,4,177,173
1804,999,1,118,117
1805,999,8,72,64
1803,1004,4,72,68
1805,1004,3,42,39
1802,1006,2,70,68
1803,1006,9,127,118
1804,1006,2,124,122
1805,1006,2,80,78
1803,1007,11,78,67
1804,1007,6,74,68
1805,1012,2,83,81
1802,1013,12,59,47
1804,1013,2,163,161
1805,1013,17,77,60
1806,1013,17,64,47
1803,1019,12,82,70
1804,1019,13,54,41
1805,1019,14,91,77
1806,1019,16,52,36
1803,1021,6,65,59
1804,1021,5,60,55
1805,1021,4,88,84
1806,1021,4,50,46
1805,1026,2,65,63
1806,1026,5,37,32
1805,1027,1,125,124
1806,1027,10,83,73
1806,1028,9,82,73
1806,1029,3,35,32
1804,1033,3,43,40
1805,1033,12,78,66
1806,1033,6,59,53
1804,1034,1,77,76
1805,1034,17,143,126
1806,1034,8,122,114
1806,1035,5,110,105
1807,1035,9,70,61
1806,1041,8,100,92
1804,1042,1,86,85
1806,1042,1,121,120
1804,1043,6,51,45
1805,1043,2,80,78
1805,1048,9,57,48
1806,1048,8,73,65
1807,1048,22,62,40
1804,1049,1,33,32
1805,1050,6,52,46
1808,1056,4,80,76
1805,1057,1,68,67
1808,1057,6,76,70
1807,1058,8,61,53
1807,1062,1,110,109
1807,1063,14,184,170
1808,1063,2,119,117
1805,1064,2,102,100
1806,1064,7,188,181
1807,1064,10,242,232
1807,1070,14,61,47
1808,1071,7,63,56
1807,1072,2,48,46
1807,1079,7,59,52
1806,1085,1,38,37
1806,1086,10,41,31
1807,1086,1,69,68
1807,1093,3,65,62
1809,1099,9,56,47
1809,1100,11,64,53
1808,1101,11,43,32
1808,1113,4,38,34
1809,1113,3,46,43
1808,1114,1,78,77
1808,1115,1,66,65
1809,1121,14,58,44
1808,1122,21,66,45
1809,1122,14,80,66
1810,1122,4,50,46
1808,1129,3,39,36
1810,1129,1,68,67
1810,1130,6,45,39
1809,1136,14,85,71
1810,1136,7,79,72
1809,1137,14,64,50
1810,1137,9,61,52
1810,1142,2,36,34
1809,1143,10,85,75
1810,1143,14,97,83
1811,1143,12,61,49
1809,1144,4,60,56
1810,1144,7,70,63
1810,1145,6,37,31
1810,1150,3,43,40
1809,1151,5,63,58
1810,1151,2,77,75
1811,1151,5,45,40
1810,1159,4,69,65
1810,1164,4,46,42
1811,1164,1,34,33
1809,1172,6,50,44
1812,1172,9,56,47
1809,1173,5,55,50
1812,1173,9,54,45
1810,1179,9,66,57
1810,1180,8,70,62
1810,1181,1,34,33
1812,1186,18,57,39
1811,1187,4,77,73
1812,1187,20,63,43
1810,1193,2,40,38
1811,1193,1,67,66
1810,1194,5,62,57
1810,1195,5,42,37
1813,1201,3,47,44
1811,1202,5,99,94
1812,1202,11,96,85
1811,1203,10,41,31
1811,1207,1,59,58
1812,1207,7,57,50
1810,1208,1,57,56
1813,1208,20,57,37
1810,1209,2,54,52
1812,1209,2,101,99
1813,1209,5,54,49
1811,1210,6,49,43
1812,1210,1,49,48
1811,1215,4,76,72
1810,1216,7,40,33
1812,1222,3,44,41
1811,1223,13,65,52
1812,1223,7,75,68
1811,1230,3,51,48
1811,1231,5,55,50
1811,1238,3,42,39
1812,1238,2,51,49
1813,1238,1,32,31
