X,Y,Subtracted,Original 1,Original 2
3250,1591,1,1,0
1784,832,2,2,0
1787,832,2,2,0
1788,832,4,4,0
1797,832,5,5,0
1798,832,7,7,0
1787,833,2,2,0
1788,833,5,5,0
1791,833,1,1,0
1793,833,4,5,1
1794,833,1,5,4
1792,834,2,2,0
1799,834,4,6,2
1785,835,2,2,0
1786,835,3,3,0
1790,835,4,20,16
1792,835,14,29,15
1793,835,3,5,2
1796,835,2,3,1
1799,835,8,9,1
1786,836,6,6,0
1789,836,5,14,9
1790,836,5,57,52
1792,836,15,77,62
1793,836,4,37,33
1795,836,5,5,0
1796,836,5,7,2
1799,836,2,2,0
1786,837,4,4,0
1789,837,4,5,1
1790,837,3,43,40
1792,837,9,69,60
1793,837,4,34,30
1794,837,3,4,1
1796,837,4,4,0
1799,837,1,1,0
1785,838,1,1,0
1790,838,1,7,6
1793,838,3,6,3
1797,838,4,4,0
1798,838,2,3,1
1784,839,2,2,0
1787,839,1,2,1
1788,839,2,7,5
1794,839,3,3,0
1797,839,2,2,0
1789,840,8,10,2
1790,840,6,6,0
1797,840,2,3,1
1786,841,3,4,1
1787,841,3,3,0
1786,842,4,4,0
1787,842,4,5,1
1790,842,4,15,11
1792,842,6,76,70
1793,842,4,37,33
1799,842,1,4,3
1787,843,2,3,1
1790,843,10,51,41
1791,843,2,107,105
1794,843,3,9,6
1796,843,2,2,0
1797,843,1,5,4
1789,844,1,2,1
1790,844,17,51,34
1791,844,13,107,94
1794,844,1,4,3
1795,844,3,3,0
1796,844,5,15,10
1797,844,3,9,6
1786,845,2,4,2
1790,845,15,15,0
1791,845,14,45,31
1792,845,1,13,12
1799,845,7,9,2
1786,846,2,4,2
1787,846,1,3,2
1798,846,2,2,0
1799,846,5,14,9
1789,847,6,10,4
1790,847,6,6,0
1794,847,2,3,1
1795,847,2,2,0
1796,847,3,4,1
1797,847,1,8,7
1788,848,4,7,3
1789,848,3,3,0
1795,848,2,2,0
1788,849,1,1,0
1792,849,6,33,27
1793,849,1,30,29
1795,849,1,1,0
